,Country,Exports_2014,Exports_2015,Exports_2016,Exports_2017,Exports_2018,Exports_2019,Exports_2020,Exports_2021,Exports_2022,Imports_2014,Imports_2015,Imports_2016,Imports_2017,Imports_2018,Imports_2019,Imports_2020,Imports_2021,Imports_2022,Trade_balance_2014,Trade_balance_2015,Trade_balance_2016,Trade_balance_2017,Trade_balance_2018,Trade_balance_2019,Trade_balance_2020,Trade_balance_2021,Trade_balance_2022,GDP_2014,GDP_2015,GDP_2016,GDP_2017,GDP_2018,GDP_2019,GDP_2020,GDP_2021,GDP_2022,Inflation_2014,Inflation_2015,Inflation_2016,Inflation_2017,Inflation_2018,Inflation_2019,Inflation_2020,Inflation_2021,Inflation_2022,Openness_2014,Openness_2015,Openness_2016,Openness_2017,Openness_2018,Openness_2019,Openness_2020,Openness_2021,Openness_2022
58,Benin,6463.367729,5112.72404,4240.799727,4941.110388,4714.593172,4295.443983,2806.917193,3477.593185,4330.658584,2084.416991,1097.01011,1093.778217,1419.232245,1373.203955,1580.182435,1666.6302942,2390.384735,3035.690975,4378.950738,4015.71393,3147.02151,3521.878143,3341.389217,2715.2615480000004,1140.2868988000002,1087.20845,1294.9676089999998,13284.527850262699,11388.1609971088,11821.065852127002,12701.655845962201,14262.4080797005,14391.686309033701,15651.5452088771,17690.083519932203,17401.746309266,-0.548757550948147,0.218785923536177,-0.794050173906725,1.76941247391975,0.644803622440778,-0.70502663454275,3.02272119663756,1.73353962694033,1.35077863583532,32.17195528643108,27.263989996174594,22.563861883233365,25.037454604873126,21.34210819442434,20.4132660059157,14.291072949981753,16.58550089203448,21.165546917201066
59,Botswana,6128.255905,5609.635585,4859.160825,5062.24625,5018.671646,5270.414738,4461.924534,5926.120761,6179.982684,2539.566235,1996.675495,3377.304593,4192.134718,3311.154918,2943.82323,2229.0532996,3663.381285,3757.652415,3588.68967,3612.96009,1481.856232,870.1115319999999,1707.5167279999996,2326.5915080000004,2232.8712344,2262.739476,2422.330269,15470.0879262484,13530.749289786101,15082.636722856001,16105.1563755848,17031.9431861353,16725.9086619419,14960.2915405283,18737.066306965902,20352.3221571467,4.40225309243433,3.06203169580559,2.81495791361944,3.30828076768219,3.2380155894771,2.7728644286333,1.89035916824198,7.24097765588449,11.665567478802,28.01477981677511,28.107501355234415,27.30446131318201,28.731111801030128,24.453541422040495,24.55543113986585,22.362458029222733,25.58965712373793,24.414007950219105
60,Burkina Faso,2034.519468,1551.551663,1668.039543,2035.283518,2048.712181,2020.250821,2039.167666,2424.768628,2748.166149,543.999254,696.987497,509.791401,1158.443612,1206.790366,1235.142,1000.3082215,1259.873923,1071.472093,1490.520214,854.564166,1158.248142,876.8399059999999,841.9218149999999,785.108821,1038.8594445,1164.8947049999997,1676.694056,13943.0160802646,11832.1593159778,12833.363043971902,14106.955625357099,15890.0662098959,16178.1616661334,17933.6062126294,19737.616003021998,18884.6196134388,-0.258089517535353,0.724838981070599,0.441041448058759,1.48299897161327,1.95594302672532,-3.23338933983321,1.88443993781985,3.65353287214207,14.2902354303358,9.246631816087909,9.501812390928672,8.485035982142549,11.319689431287749,10.243829396294654,10.061071486925137,8.474246204200433,9.334061799651613,10.113092877131196
61,Burundi,350.779022,265.44152,333.806357,358.952479,368.045099,453.005774,566.648588,638.96119,783.684539,247.999085,209.659578,142.633114,120.662941,176.549958,194.266255,138.737467,93.66301,43.025146,102.779937,55.781942000000015,191.173243,238.289538,191.495141,258.739519,427.911121,545.29818,740.659393,2705.78333038796,3104.00354560675,2644.48777723693,2723.58696218686,2667.1821989792497,2576.51887939881,2649.6802610109703,2775.79869716485,3073.4146778438503,4.4053523418529,5.54468891259786,5.55768961400965,16.0525353030392,-2.8146980766847,-0.686772170797229,7.32110643415513,8.4045384507634,18.8008786664944,11.064782983088046,7.653037295534572,9.008161714738641,8.804848654711222,10.209183632232184,12.560979742384628,13.310776877110147,13.196637795606158,13.449367749814629
62,Cameroon,4725.154602,3809.781919,3340.500629,3721.507262,3968.638606,3791.801524,3896.046494,5615.95645,6467.15235,2408.490111,2651.51032,1955.395854,2111.098794,2768.853107,3072.585607,2307.4407394,3473.295431,3370.619473,2316.6644909999995,1158.2715990000002,1385.104775,1610.408468,1199.785499,719.215917,1588.6057546000002,2142.661019,3096.532877,36386.5447160794,32210.233021573502,33814.337040780396,36098.5470587877,39973.842058565,39670.976440315804,40773.2412116941,45338.2853861044,44341.646509219296,1.85489850366776,2.67623531419902,0.874190383288843,0.640409149881981,1.06885811312916,2.45280214062733,2.43760882182242,2.27185762503631,6.24767713343868,9.802586050232472,10.029875031752193,7.830844763588152,8.07872688961886,8.427375711257644,8.651648821056035,7.607302055276377,10.023815196798045,11.093151244343826
63,Central African Rep.,110.407391,125.680993,132.07283,133.911919,187.426652,206.140991,198.290077,217.575956,338.900075,58.543227,62.873071,109.314356,107.14879,93.411467,64.931718,111.4356419,244.777204,112.483822,51.864164,62.807922,22.758474000000007,26.763129000000006,94.015185,141.209273,86.85443509999999,-27.20124800000002,226.416253,1894.81338988175,1695.8257142427,1825.01814446187,2072.34997415272,2220.97914452008,2221.30135075537,2326.72090235741,2516.49841231361,2382.6186153562003,14.8986841797549,1.40297017136816,4.94543276106514,4.18072331871272,1.61215686991555,2.68537355266785,1.71015659523149,4.25936417542871,5.58316735183246,4.458238972296469,5.559358559561707,6.61328181126594,5.816119671064674,6.322394329837007,6.1016644344050786,6.655841673708888,9.186438539711283,9.472432853726326
64,Chad,645.186274,427.716654,317.967612,364.364661,511.329742,630.429539,624.513448,741.871705,761.884741,342.911169,611.658595,528.663492,532.469085,818.935369,1053.508184,895.3950769,1179.195146,2659.012018,302.27510500000005,-183.941941,-210.69588000000005,-168.10442399999994,-307.605627,-423.0786450000001,-270.8816289,-437.323441,-1897.127277,13940.767222105302,10950.3922572764,10097.778097096902,10000.394388115801,11239.1678902816,11314.9510882451,10715.3960514388,11779.981332159901,12704.149842037301,1.68197313925659,4.3771266506566,-0.792440525236028,-1.53709962980847,4.27462198610544,-0.971939175419353,4.46414437232863,-0.772844370359128,5.78802687843616,3.5439134276383815,4.745835695106483,4.1921653251788396,4.4839918866888535,5.917987541365352,7.441206373173865,7.092171477394508,8.15394692415767,13.4636980889522
65,"Congo, Rep. of",3787.816307,2569.481219,1740.437421,1368.874229,1343.014904,1288.563672,1463.340197,1933.820867,2337.764677,7458.457673,4461.853132,3814.660605,6177.861028,9425.866467,9133.987552,5564.8869282,8517.226721,12347.973445,-3670.641366,-1892.3719130000004,-2074.223184,-4808.986799,-8082.851563,-7845.42388,-4101.5467312,-6583.4058540000005,-10010.208768,17912.9076820663,11890.2591766829,10219.3410171383,11094.8236765914,13670.0380198594,12750.338736166099,10483.1510936873,13366.2308213293,14615.532210052299,0.912139545450186,3.16909796750826,3.19056179723775,0.450063823285551,1.15277896375521,2.20607305781519,1.79537147083111,1.71564275451263,3.04344334698467,31.391536705286903,29.56762441641569,27.17933581374693,34.010163103910365,39.388629919519275,40.87166403837032,33.521538812085936,39.09496898453465,50.24017569438701
66,Côte d'Ivoire,6367.004431,5741.064051,5557.017046,6150.388677,7111.625413,7007.826379,7094.601912,9998.51957,11192.452595,4834.982351,4246.76574,4157.847936,5047.009357,5313.876208,5691.382046,5997.1959898000005,7005.237768,8016.060048,1532.0220800000006,1494.2983110000005,1399.1691099999998,1103.37932,1797.749205,1316.4443330000004,1097.4059221999996,2993.2818020000004,3176.3925470000004,48843.0056250307,45815.0051706127,48407.7610316758,52512.3440339625,58522.4777447313,59898.4798211946,62982.768371517406,71811.075954676,70018.7150166967,0.44868207676614,1.25149954781474,0.723178457513252,0.685881065304644,0.359409031380664,-1.10686343994202,2.42500656821829,4.09195189692858,5.2761672426284,11.467339733346886,10.900173157032112,10.03440850697788,10.661681781675993,10.616007814295465,10.60060995112808,10.39315851009852,11.839230308101794,13.716698912868889
67,"Equatorial Guinea, Rep. of",949.623736,614.941541,449.27763,329.672559,373.105489,263.424979,327.891226,313.96698,488.609457,5844.702296,2636.319898,2024.050168,2553.415197,3367.995932,3218.688141,1730.1955985999998,2467.476037,3629.700674,-4895.07856,-2021.378357,-1574.772538,-2223.742638,-2994.890443,-2955.263162,-1402.3043726,-2153.509057,-3141.091217,21765.453087479,13185.496881405199,11240.8088466924,12200.913887642799,13097.012124226101,11364.133546249399,10099.1579955789,12269.3933921579,11813.9084478131,4.30999866149112,1.67663085315985,1.41193915479014,0.744354746612459,1.06007410662164,1.53027528964195,4.76669523944227,-0.0971007664640634,4.78671704710803,15.608050989548591,12.328930294561294,11.001556167943265,11.815048374859929,14.28227058780806,15.320627418837537,10.189398093885485,11.33488399996118,17.429922320764003
