,Country,Exports_2014,Exports_2015,Exports_2016,Exports_2017,Exports_2018,Exports_2019,Exports_2020,Exports_2021,Exports_2022,Imports_2014,Imports_2015,Imports_2016,Imports_2017,Imports_2018,Imports_2019,Imports_2020,Imports_2021,Imports_2022,Trade_balance_2014,Trade_balance_2015,Trade_balance_2016,Trade_balance_2017,Trade_balance_2018,Trade_balance_2019,Trade_balance_2020,Trade_balance_2021,Trade_balance_2022,GDP_2014,GDP_2015,GDP_2016,GDP_2017,GDP_2018,GDP_2019,GDP_2020,GDP_2021,GDP_2022,Inflation_2014,Inflation_2015,Inflation_2016,Inflation_2017,Inflation_2018,Inflation_2019,Inflation_2020,Inflation_2021,Inflation_2022,Openness_2014,Openness_2015,Openness_2016,Openness_2017,Openness_2018,Openness_2019,Openness_2020,Openness_2021,Openness_2022
1,Bangladesh,29230.005539,30029.299084,30903.584025,35501.95434,41062.647812,41918.99669,36957.2767,59949.066008,70012.86769,5344.386046,5837.243736,6013.137078,6939.521549,7859.167217,8457.275542,7658.159092600001,10594.787148,11946.032866,23885.619493,24192.055348,24890.446947,28562.432791,33203.480595,33461.721148,29299.117607400003,49354.278860000006,58066.834824,172885.43268694502,195078.574089067,265236.389198948,293754.769935148,321379.16313564696,351238.397263802,373902.196399317,416264.802185166,460201.000095101,6.99163889220856,6.19428022984986,5.51352572692992,5.70207015717245,5.54362139486472,5.59199639930632,5.69107474746207,5.54565430773474,7.69695437176894,9.999220595874645,9.192845238766308,6.959211218056054,7.223963699103467,7.611230073486625,7.171236491288887,5.966190653899232,8.473434792670767,8.904685185284594
2,Brunei Darussalam,2996.122479,2408.143278,1401.634799,1456.480639,2459.303028,2414.828419,2315.852901,3637.447446,4698.950298,2854.25851,1767.079398,1640.171746,2287.511488,2081.582605,2420.485801,3504.3907083,4883.588848,6258.774746,141.863969,641.0638799999999,-238.53694700000003,-831.030849,377.72042299999976,-5.657381999999871,-1188.5378072999997,-1246.1414020000002,-1559.8244480000003,17097.8010919771,12930.2929494216,11400.4673724943,12128.182463596,13567.1644449707,13469.2401625496,12005.795914730601,14006.4970002477,16681.5316457347,-0.207108731719878,-0.488347420743486,-0.278693265753062,-1.26050564628963,1.02505179290213,-0.390522069165492,1.94031996607178,1.73341388450597,3.68225030604209,17.108577171789676,16.14512019306866,13.34070983940058,15.435091524381258,16.734836713368246,17.949469166955296,24.23930762540619,30.41815628079351,32.843881715147475
3,Cambodia,11536.022289,11986.376973,11832.566629,13858.2147,18567.832293,21209.647772,19824.908218,25133.04473,30767.161341,2649.983521,3332.922171,3678.452435,4329.903188,4695.537276,6365.330171,5210.2604782,9400.735717,9950.185266,8886.038768,8653.454802,8154.114194000001,9528.311512,13872.295017,14844.317601,14614.6477398,15732.309013000002,20816.976075,16702.6108424025,18049.9542894229,20016.7478583122,22177.2005886749,24571.753581784098,27089.390032891497,25872.7978920285,26961.0611522979,29956.769529428002,3.85568861424195,1.22393195511127,3.01913975139129,2.9126355737148,2.45908515380133,1.94257500833109,2.94029514263973,2.9207347759295,5.34370264895435,42.46643217593965,42.435839167130084,38.74510278541292,41.006343012670456,47.337625887323625,50.89626955335448,48.3812550940102,64.04380794198946,67.96017602465673
5,"Fiji, Rep. of",527.634375,547.539494,675.485558,627.371933,731.277077,584.014363,502.129618,674.672129,953.233074,307.177452,276.572997,238.718753,220.727332,216.407739,213.740725,253.1656723,222.272523,214.072454,220.456923,270.966497,436.766805,406.644601,514.869338,370.273638,248.9639457,452.39960600000006,739.16062,4857.1038467298495,4682.48030397469,4930.21378750451,5353.46838756019,5581.4258909665095,5481.69262161125,4477.030179831279,4296.23542752339,4943.2482000441,0.519306474579103,1.37488542621447,3.86322538221274,3.34757834757835,4.08147637644538,1.7731018246027,-2.5952432588737,0.155855722131493,4.52019266394963,8.59372018123573,8.799956833779502,9.27144694330523,7.9210261796886785,8.489630020294813,7.276539775824877,8.435226701202,10.438727894819454,11.807069772357234
6,India,293233.544055,226257.676511,210189.410153,252435.495568,303901.788412,279941.294306,217290.917302,332878.934322,416919.392429,147732.405495,130530.565937,124604.895078,146834.640206,165758.987078,169008.337305,145352.5078144,200973.791965,228202.366596,145501.13856,95727.110574,85584.515075,105600.855362,138142.801334,110932.957001,71938.4094876,131905.142357,188717.025833,2039126.46996335,2103588.34724177,2294796.88994504,2651474.26325715,2702929.6398615,2835606.24205248,2671595.3895757003,3150306.83427965,3385089.88193539,6.665656718679,4.90697344127254,4.94821634062142,3.32817337461301,3.93882646691634,3.72950573539126,6.62343677628532,5.13140747176369,6.6990341407985,10.812618933781131,8.480467267177573,7.2946391617041595,7.529210094680019,8.68799484388476,7.916290085573366,6.787019968132125,8.473027460023127,9.52887192844874
7,Indonesia,88948.937218,70527.042987,67606.349295,74966.034853,90537.922674,89650.53879,78226.581854,113180.831592,137110.316677,88076.950124,78487.258771,76783.730667,96928.38717,105744.114195,106586.480296,100940.578842,154326.34816,199321.573821,871.987094000011,-7960.215784,-9177.381371999987,-21962.352317,-15206.191521,-16935.94150599999,-22713.996988,-41145.51656799999,-62211.257144,890814.755511291,860854.232717853,931877.364033902,1015618.74416815,1042271.53295336,1119099.87138616,1059054.84271172,1186505.45572081,1319100.22038902,6.39492540819922,6.36312113115614,3.5258051568793,3.80879806953163,3.19834641562404,3.03058664969491,1.92096800566845,1.56012990525685,4.2094638340216,9.936178439275764,8.655025211849065,7.747268338881288,8.462546748474567,9.416070124875189,8.767627631076987,8.458823541056704,11.272901378674556,12.752324853633251
8,Lao People's Dem. Rep.,6463.327001,6083.421136,5535.198678,5959.360071,6396.148843,6445.185827,5488.558661,6288.314049,7834.258822,4118.728732,3525.031665,3832.407686,4456.258635,5280.83641,5385.848918,5797.7728804,7072.280083,8389.436841,2344.598269,2558.389471,1702.7909919999995,1503.101436,1115.312433,1059.3369090000006,-309.2142193999998,-783.966034,-555.1780190000009,13279.2484788161,14426.381187089399,15912.4953688717,17071.1620844067,18141.6513813884,18740.5595541632,18981.8007050794,18827.1485300151,15724.3837832385,4.12924306873775,1.27735427102986,1.59691227583204,0.82547860756813,2.04039266890198,3.32255881256934,5.10407262959903,3.75562036658905,22.9562225132054,39.84433211669006,33.30167377526005,29.434749694649003,30.50647241968938,32.18280686668764,31.565318823075767,29.729348961028375,35.48225614383381,51.587699354850855
9,Malaysia,99015.282032,86106.833228,73963.814712,90254.853999,96442.031234,104077.905047,103685.557982,137306.320555,169661.015067,131863.691106,121600.465737,114473.125868,126296.581224,143265.789721,152252.047643,145181.2116545,190250.763071,222101.17019,-32848.40907400001,-35493.632509,-40509.311156,-36041.727225,-46823.758487000014,-48174.142596000005,-41495.65367249999,-52944.44251599998,-52440.155123,338066.121289413,301354.78369872,301255.332137075,319109.103242055,358788.833524945,365177.744321011,337339.463179961,372981.073017749,406305.924656071,3.14299050879107,2.10438980238344,2.09056659525745,3.8712011577424,0.884709160571244,0.662891865764376,-1.13870215393056,2.47710241465444,3.37869862549938,34.14701423754145,34.46225349663866,31.275287186329166,33.93062639437435,33.405139535694914,35.09660113140303,36.88669675503347,43.910684391539164,48.210247683271916
10,Maldives,1153.706879,1022.755842,1309.042486,1417.778729,1705.738752,1588.074679,1055.152479,1956.488636,2365.76757,63.910826,81.969585,146.928016,278.63131,392.712059,134.784992,120.3841076,1125.016136,668.213676,1089.796053,940.786257,1162.11447,1139.147419,1313.026693,1453.289687,934.7683714,831.4725000000001,1697.553894,3697.35315504883,4109.41645022514,4379.134272943,4754.185598841699,5300.94982299805,5609.385433592,3746.32935828788,5405.55716173799,6189.86540823158,2.12000175718133,0.953206658777659,0.502509413611577,2.81747338234513,-0.133373386117587,0.220029731065364,-1.3697742556981,0.54314968873696,2.33314337624571,16.466072538098125,13.441390528081868,16.623953631610323,17.841226470137286,19.79315859486086,15.356937862413547,15.68917831529414,28.503118918173065,24.50765118386311
11,"Micronesia, Federated States of",72.897523,71.913627,332.026436,350.885546,591.720018,196.328385,206.441667,192.430972,221.765638,18.37099,15.949303,42.953279,103.497802,157.221818,211.799759,207.071293,225.069818,238.161628,54.52653300000001,55.964324000000005,289.073157,247.387744,434.4982,-15.471373999999996,-0.6296260000000018,-32.638846,-16.395990000000012,319.2712,316.4899,332.2652,366.6668,401.9323,412.0,408.0,404.0289,427.09411911131696,0.650284891768603,-0.298115837381107,-1.03746806405332,0.582253735254645,1.49840023593733,1.92385170787926,0.554594630853204,3.19128406597464,5.40874375479069,14.293258051462207,13.880842643003778,56.42777441032043,61.96134310496614,93.16765982728931,49.5301145631068,50.67560784313726,51.66719385667709,53.84378353850917
12,Mongolia,3985.456015,2942.373403,2164.202856,2962.982571,3581.096748,3893.688332,3269.933835,4468.783262,4917.198168,5147.066998,3844.188733,3639.133278,5169.094166,6436.297001,6384.458264,5143.905241,6972.093672,9463.314242,-1161.610983,-901.81533,-1474.930422,-2206.111595,-2855.200253,-2490.769932,-1873.9714060000008,-2503.31041,-4546.1160740000005,12226.514666040399,11619.8925926599,11181.350649224702,11480.8477400839,13178.094719861201,14206.3590164014,13312.9814274023,15286.441740129,16810.883360913,12.253980812976,5.73568281938328,0.733272227314381,4.30143105302342,6.82424790145521,7.30106953550724,3.79604026111249,7.35281243380224,15.1479560897225,37.34720508030765,29.202344522043873,25.95096207989146,35.41583740636112,38.00774680235986,36.17445745293979,31.600130751634925,37.42164830931888,42.771435924170824
13,Nepal,7399.172073,4737.413303,5989.503679,7080.880759,8999.682627,9233.885706,7447.981562,12026.965033,10998.992839,716.406933,578.05297,502.176095,1135.519921,1036.726638,759.144313,921.3461609,1412.718736,1010.629194,6682.76514,4159.3603330000005,5487.327584000001,5945.360838,7962.955989,8474.741392999998,6526.6354011,10614.246297,9988.363645,22731.612827345798,24360.801338054298,24524.1094847453,28971.5888808208,33111.525182713296,34186.1806949285,33433.6592231789,36924.8414300574,40828.2473024851,8.36415469659556,7.86890895590905,8.79034332004629,3.62709610696609,4.0611633875107,5.56868547784925,5.05236655289216,4.08791045882441,7.69271853302473,17.85086493343111,10.909875663032166,13.235301730401286,14.180100224739933,15.155462047758162,14.615598782701191,12.516320255333744,18.19870207764777,14.707491536465012
14,Philippines,49174.226834,48345.139619,53475.400483,59365.019827,67481.644987,70214.415259,67034.972618,92424.81526,107467.1909,32240.049366,30352.71177,29389.85118,34188.044295,36731.350862,35687.016059,33951.0516821,42547.771208,43470.779679,16934.177468,17992.427849,24085.549303,25176.975532,30750.294125000008,34527.3992,33083.9209359,49877.044052000005,63996.411221,297483.55329959304,306445.871631969,318627.003965989,328480.73814709997,346841.89689048904,376823.40477283695,361751.145432404,394087.36201731797,404284.327311713,3.5978234386421,0.674192536845387,1.25369880080986,2.85318772590939,5.30934661627714,2.39206534422402,2.39316239316241,3.92718022100326,5.82115811213952,13.683828113685397,12.840416313963829,13.00348850404488,14.24026636230115,15.023126788212663,14.051864875781972,13.957941194545576,17.124703742982337,18.667304219119924
15,Samoa,125.817934,118.162879,136.542223,117.53015,127.154011,145.903267,118.06489,145.426551,167.096074,14.515664,23.325871,38.475436,19.142537,24.057597,31.033515,42.5740204,17.730281,42.722212,111.30227,94.837008,98.066787,98.387613,103.096414,114.869752,75.4908696,127.69626999999998,124.373862,796.68367275348,824.1504872105661,843.924750673535,884.8444197788909,878.4484394537241,912.950619371868,868.898350356664,843.850777823854,832.4215653723561,-0.406816088424881,0.724470134874833,1.30471869303168,1.74989677484723,4.19745888663745,0.982326569888142,-1.568912477409,3.1332047317449,10.9618822286845,8.807359984859625,8.58391472162355,10.369269230480484,7.7229784098176495,8.606743504151089,9.690380741607731,9.24382641157399,9.667398329640307,12.602886249477738
16,Solomon Islands,138.90882,170.649215,207.945223,183.920085,230.35291,182.353086,169.307696,250.518029,302.848708,538.328735,580.65264,507.352112,701.490467,766.204025,571.852285,415.6421207,396.344243,379.498758,-399.41991500000006,-410.003425,-299.406889,-517.570382,-535.8511149999999,-389.4991990000001,-246.3344247,-145.826214,-76.65005000000002,1335.57135668714,1307.90989129375,1379.4903150228602,1469.78905030851,1615.4784214597398,1619.1549584023298,1536.1458310639,1580.3035171709198,1595.71078431373,5.16590237925172,-0.574469286359543,0.512485626268801,0.488686760260984,3.46147484973745,1.63485544012242,2.96354992076069,-0.1154378944128,5.51812928576933,25.35385142879506,28.72146850486894,25.926145591973455,30.120327533197756,30.844018767502796,23.29009237461119,19.039527526331174,20.46639347984308,21.380674765993334
