,Country,Exports_2014,Exports_2015,Exports_2016,Exports_2017,Exports_2018,Exports_2019,Exports_2020,Exports_2021,Exports_2022,Imports_2014,Imports_2015,Imports_2016,Imports_2017,Imports_2018,Imports_2019,Imports_2020,Imports_2021,Imports_2022,Trade_balance_2014,Trade_balance_2015,Trade_balance_2016,Trade_balance_2017,Trade_balance_2018,Trade_balance_2019,Trade_balance_2020,Trade_balance_2021,Trade_balance_2022,GDP_2014,GDP_2015,GDP_2016,GDP_2017,GDP_2018,GDP_2019,GDP_2020,GDP_2021,GDP_2022,Inflation_2014,Inflation_2015,Inflation_2016,Inflation_2017,Inflation_2018,Inflation_2019,Inflation_2020,Inflation_2021,Inflation_2022,Openness_2014,Openness_2015,Openness_2016,Openness_2017,Openness_2018,Openness_2019,Openness_2020,Openness_2021,Openness_2022
21,Albania,1550.684438,1471.77497,1624.400938,1839.221896,2128.749262,2181.891551,2225.374741,2907.461033,3240.95579,807.535716,596.636922,532.101292,771.1547,779.996062,822.302512,706.1083482,1083.989126,1136.860682,743.148722,875.1380479999999,1092.299646,1068.067196,1348.7531999999997,1359.5890390000002,1519.2663928000002,1823.471907,2104.095108,13228.1475161168,11386.853143152,11861.1998308396,13019.726211736901,15156.424061981501,15401.8260805183,15162.7342052462,17930.5651188176,18882.0955178768,1.62586504402607,1.89617402592367,1.2754316836742,1.98666133171191,2.02805963071136,1.41109078954248,1.62088661717004,2.04147163139546,6.72520271530062,8.913644753079792,9.08245617115003,9.090573722537778,10.024698498063739,9.59575066026399,9.752720382942096,9.666736386455046,11.1302965984354,11.592506954154695
22,"Belarus, Rep. of",26173.634447,18975.785011,18539.704177,23037.141102,27048.055012,26664.380583,22939.980049,31365.171565,24248.133135,22039.833432,16141.587899,16011.367607,19409.901334,21772.797137,22277.234344,21410.9101526,27599.968188,19611.061586,4133.801015000001,2834.197112,2528.3365699999995,3627.239768000003,5275.257874999999,4387.146238999998,1529.069896400004,3765.2033770000016,4637.071549,78812.78576774831,56454.8950546555,47723.549319084195,54725.3116900478,60031.163987191,64410.112583362,61371.7553262351,69673.74713187,72793.45758843671,18.1195543526734,13.5344897649735,11.8365807653497,6.03183725177787,4.87230220550685,5.59815595039853,5.54814357456515,9.46028389623105,15.2096752740809,30.587338976368137,31.10215055399707,36.19918496944584,38.78191016655215,40.66292314389992,37.99218241053213,36.132981667090235,42.31517765321129,30.125780649803247
23,Bosnia and Herzegovina,3501.699821,2652.095746,2637.789037,2926.963485,3374.153023,3250.373053,3005.301203,4073.556419,4772.202179,1632.56334,1594.344443,1660.365117,1911.448374,2010.910634,1868.56594,1428.7602693,2306.129289,2745.708668,1869.136481,1057.751303,977.42392,1015.5151110000002,1363.2423889999998,1381.8071129999998,1576.5409337,1767.42713,2026.493511,18558.7312128666,16404.352155614,17116.9260923905,18326.3763940796,20484.0484155019,20482.6033464473,20226.0307310131,23649.5660692355,24527.5072877962,-0.897194054194286,-1.03602303425476,-1.58409999999997,0.810133321953047,1.41710814018026,0.562782154061303,-1.05129600763481,1.98163900587616,14.0208440826771,13.832473519096125,12.943029230041118,12.555274617651085,13.200677959891365,13.144529703719837,12.495821225498362,10.96127443705783,13.48795510522919,15.32546858265654
24,Bulgaria,13181.224349,12021.407333,13291.706584,16213.043261,17393.49543,16956.082619,15761.776097,21351.971395,25138.63876,12440.662653,10481.203789,10455.008071,12673.54991,12647.583167,13042.069617,12326.3813474,17203.028884,26144.233268,740.5616960000007,1540.203544,2836.698513,3539.493351000001,4745.912262999998,3914.0130020000015,3435.3947496,4148.942511000001,-1005.5945079999984,57159.5578046461,50828.0888359428,53987.4871243421,59343.060705828,66399.6020771693,68911.9306278977,70404.35904923199,84061.395658221,89040.3984063745,-1.41818380264842,-0.104633261008417,-0.798649886453611,2.06159619443137,2.81454473824833,3.10372944796774,1.67244096855762,3.29774435299511,15.3252589264366,22.412600784603494,22.135999638537857,21.99279492330083,24.338644508239096,22.621429690261095,21.765572349133848,19.94774032724214,22.932643442988933,28.797530641062696
25,Hungary,26087.589053,21889.614161,22367.927615,25710.301416,30554.315947,29793.129744,28582.278373,36525.521644,39408.660383,27133.176125,24405.456233,24587.464928,28774.255619,30772.029794,29762.185732,29261.0242352,36707.279063,37100.995782,-1045.587072000002,-2515.8420719999995,-2219.5373130000007,-3063.954203000001,-217.71384699999908,30.94401199999993,-678.7458622000013,-181.7574190000014,2307.664601000004,141033.843265669,125174.166987372,128609.822750039,143112.196040326,160565.642983587,164020.460331659,157227.094449074,182275.44403179002,178788.57206758898,-0.227566270988384,-0.0616446800641176,0.394769306686402,2.34824281150159,2.85024792594642,3.3385863538201,3.3267438576673,5.11096534382858,14.6081439492433,18.86808298833164,18.492262224788924,18.254979106168527,19.03560931300621,19.096970124321295,18.15484341269853,18.394826544013853,20.088498781609808,21.396685280331116
26,"Kosovo, Rep. of",1262.531801,1034.688638,1145.72168,1324.893829,1436.694604,1378.819821,1286.144404,1808.211133,1937.521076,90.531705,77.786444,122.10092,161.187184,183.114345,177.588581,201.2989559,340.268696,376.143907,1172.000096,956.902194,1023.62076,1163.7066450000002,1253.580259,1201.23124,1084.8454481,1467.9424370000002,1561.377169,7074.39288404507,6295.845465358981,6682.674062961501,7180.76869226354,7878.76281220156,7899.74127893571,7717.1433952569905,9412.03429923122,9429.156201958509,0.4289578083241,-0.536929392740657,0.273169431045511,1.48823430592309,1.05379773654998,2.67599202639892,0.198227922994858,3.35369139207989,11.5805104542013,9.563106885479701,8.834993553455718,9.485892833131462,10.347645751360037,10.279589496535289,9.851008704234973,9.637266561705934,11.413472160718161,12.268674595291113
27,"Moldova, Rep. of",4733.112044,3206.11988,3084.314814,3640.844996,4442.804342,4831.716253,4071.79848,5708.927462,7327.94965,1800.920691,1509.247992,1468.844667,1866.78842,2079.300622,2133.620696,1900.4146697,3573.599951,2788.707513,2932.191353,1696.871888,1615.4701469999998,1774.0565759999995,2363.50372,2698.095557,2171.3838103,2135.3275109999995,4539.242136999999,9399.83320749341,7798.69287840136,7982.450758032131,9519.053158464041,11253.7278154762,11735.7746344239,11531.967881062401,13692.230147058799,14420.9478835979,5.08878554625874,9.67624033101865,6.35930898037935,6.57022997455603,3.04505397337069,4.83778351428721,3.76597122245349,5.10641129002839,28.7372976766235,34.75610997964924,30.231783361153436,28.519809385723445,28.929523369153507,28.9775311387519,29.67565911060085,25.894163126778498,33.89706173977057,35.076255890594005
28,Montenegro,1508.407815,1327.957268,1356.434565,1206.5455,914.895068,1102.12498,1572.381628,1807.931922,2414.219138,332.516308,248.291246,320.940615,305.092046,258.654804,300.054748,308.1497129,406.765469,633.762366,1175.891507,1079.666022,1035.49395,901.453454,656.240264,802.070232,1264.2319151000002,1401.166453,1780.456772,4593.85208909567,4054.72817294375,4376.92957163114,4856.60217863413,5506.94440330196,5542.053845292739,4769.99551155242,5861.43052558447,6095.97886769929,-0.71051405171022,1.54869158222488,-0.27138502338526,2.38023599053136,2.61122378263797,0.361563704540798,-0.255655699848551,2.41080198403167,13.0403036347004,20.03682407809519,19.437166275632688,19.1615509519713,15.562707119086422,10.655181767373032,12.650361825616066,19.712087111461152,18.892123529683587,24.999934958356835
29,"North Macedonia, Republic of",2235.602765,2069.327205,2160.316426,2619.570512,3022.06563,2740.61976,2944.689478,3940.048269,4484.570336,1600.240837,1646.021881,1503.354829,1960.561935,2149.678145,2205.60658,1996.7914513,2802.185147,2945.446348,635.361928,423.30532400000016,656.9615969999998,659.0085769999998,872.3874850000002,535.0131799999999,947.8980266999996,1137.8631219999995,1539.1239879999998,11362.265293558099,10064.5199625655,10672.4670732873,11307.0670007188,12683.0680331043,12606.338448547001,12363.580534681101,13825.0498317959,13563.1320572486,-0.281705032928538,-0.299920475631447,-0.239290787684491,1.3516188967744,1.45831298507127,0.766439573459688,1.20007348888482,3.23074912132919,14.2047173195833,16.879748460787802,18.457656698079308,17.16412536033961,20.253406328576794,20.388378275276693,19.618013431053406,19.98402046817523,24.384119760978,27.39049008974718
30,"Poland, Rep. of",52525.927666,44729.131799,46298.332824,55872.71691,68744.936006,67882.611365,66735.962456,95213.70213,109411.656816,40180.336292,34054.561581,35018.934183,41418.733073,44457.985147,45902.727214,44998.93940430001,56820.754266,58776.031951,12345.591374000003,10674.570218,11279.398641,14453.983837,24286.950859000004,21979.88415100001,21737.023051699987,38392.947864,50635.624865000005,539080.5320371421,477111.287969227,470024.55963849596,524641.206562004,588779.850763487,596058.473058766,599442.7836031871,679441.900610663,688176.605954787,0.0538213132400467,-0.874125874125849,-0.664767331434023,2.07593553673862,1.81295156542681,2.227478809383,3.3744697261859,5.05502704719268,14.4294507575757,8.598554246400854,8.256322514956034,8.650321067216414,9.272189142419347,9.61334877596496,9.544813447168446,9.319897154209892,11.188186676399834,12.219805738212631
