Country,Exports_2014,Exports_2015,Exports_2016,Exports_2017,Exports_2018,Exports_2019,Exports_2020,Exports_2021,Exports_2022,Imports_2014,Imports_2015,Imports_2016,Imports_2017,Imports_2018,Imports_2019,Imports_2020,Imports_2021,Imports_2022,Mapped_Country,Trade_balance_2014,Trade_balance_2015,Trade_balance_2016,Trade_balance_2017,Trade_balance_2018,Trade_balance_2019,Trade_balance_2020,Trade_balance_2021,Trade_balance_2022,GDP_2014,GDP_2015,GDP_2016,GDP_2017,GDP_2018,GDP_2019,GDP_2020,GDP_2021,GDP_2022,Inflation_2014,Inflation_2015,Inflation_2016,Inflation_2017,Inflation_2018,Inflation_2019,Inflation_2020,Inflation_2021,Inflation_2022
Emerging and Developing Asia,1346415.075575,1100056.461173,1053715.836511,1264467.305574,1517675.568969688,1499637.298852,1394375.037778,1908383.346962,2195583.817012,1373744.388636,1318030.562411,1310158.629101,1520107.197322,1662245.332028,1701095.017756,1609334.2206461001,2145317.088308,2431374.362319,0,-27329.31306100008,-217974.10123799997,-256442.79258999997,-255639.89174799994,-144569.763058312,-201457.718904,-214959.1828681,-236933.741346,-235790.54530700017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
American Samoa,43.99999,45.107031,111.051028,33.236352,39.022415,64.453462,24.610313,34.972682,75.726529,42.668962,12.161383,18.669881,24.355158,53.66628,8.443447,5.418468,58.584779,15.111906,American Samoa,1.3310279999999963,32.945648,92.381147,8.881193999999997,-14.643864999999998,56.010015,19.191845,-23.612097,60.614623,643000000.0,673000000.0,671000000.0,612000000.0,639000000.0,647000000.0,716000000.0,709000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bangladesh,29230.005539,30029.299084,30903.584025,35501.95434,41062.647812,41918.99669,36957.2767,59949.066008,70012.86769,5344.386046,5837.243736,6013.137078,6939.521549,7859.167217,8457.275542,7658.159092600001,10594.787148,11946.032866,Bangladesh,23885.619493000002,24192.055347999998,24890.446947,28562.432790999996,33203.480595,33461.721148,29299.117607400003,49354.278860000006,58066.834824,172885432686.945,195078574089.067,265236389198.948,293754769935.148,321379163135.647,351238397263.802,373902196399.317,416264802185.166,460201000095.101,6.99163889220856,6.19428022984986,5.51352572692992,5.70207015717245,5.54362139486472,5.59199639930632,5.69107474746207,5.54565430773474,7.69695437176894
Bhutan,324.458526,440.895898,447.681438,433.403106,680.962142,720.193569,647.236842,998.882048,1207.623866,193.238872,280.036156,250.29273,242.0289,316.457655,317.622229,227.617767,461.159137,417.664738,Bhutan,131.21965400000002,160.85974199999998,197.388708,191.374206,364.504487,402.57134,419.61907500000007,537.7229110000001,789.959128,1907090361.57887,2003596824.31099,2158971717.50418,2450366107.88229,2446867582.27133,2535655609.45889,2325185520.59339,2539551327.48291,0.0,8.27106093949327,4.54814395082202,3.21988689395718,4.9550836698513,2.72396386183716,2.72643037388825,5.62936522632514,7.34681440533531,5.63916671396365
Brunei Darussalam,2996.122479,2408.143278,1401.634799,1456.480639,2459.303028,2414.828419,2315.852901,3637.447446,4698.950298,2854.25851,1767.079398,1640.171746,2287.511488,2081.582605,2420.485801,3504.3907083,4883.588848,6258.774746,Brunei Darussalam,141.863969,641.0638799999999,-238.53694700000005,-831.030849,377.72042299999976,-5.6573819999998705,-1188.5378072999997,-1246.1414020000002,-1559.8244480000003,17097801091.9771,12930292949.4216,11400467372.4943,12128182463.596,13567164444.9707,13469240162.5496,12005795914.7306,14006497000.2477,16681531645.7347,-0.207108731719878,-0.488347420743486,-0.278693265753062,-1.26050564628963,1.02505179290213,-0.390522069165492,1.94031996607178,1.73341388450597,3.68225030604209
Cambodia,11536.022289,11986.376973,11832.566629,13858.2147,18567.832293,21209.647772,19824.908218,25133.04473,30767.161341,2649.983521,3332.922171,3678.452435,4329.903188,4695.537276,6365.330171,5210.2604782,9400.735717,9950.185266,Cambodia,8886.038768,8653.454802,8154.114194000001,9528.311512,13872.295017,14844.317601,14614.6477398,15732.309013000002,20816.976075,16702610842.4025,18049954289.4229,20016747858.3122,22177200588.6749,24571753581.7841,27089390032.8915,25872797892.0285,26961061152.2979,29956769529.428,3.85568861424195,1.22393195511127,3.01913975139129,2.9126355737148,2.45908515380133,1.94257500833109,2.94029514263973,2.9207347759295,5.34370264895435
"China, P.R.: Mainland",513669.729147,377365.110265,359592.786488,458784.01938,584016.8435836878,571162.475142,548652.657144,738139.333222,797383.176563,735161.524589,719165.496875,702048.369152,808021.369308,885830.265655,908230.201518,867456.6860294,1154706.029982,1302459.40299,China,-221491.79544200003,-341800.3866099999,-342455.58266400005,-349237.34992799995,-301813.4220713122,-337067.726376,-318804.0288853999,-416566.69675999985,-505076.22642700013,10475624783235.6,11061573199439.7,11233314018690.1,12310491176727.3,13894907485398.9,14279968485748.0,14687743556969.6,17820459342451.2,17963170521079.8,1.92164162788521,1.43702380935655,2.00000182191941,1.59313600071434,2.07479039965578,2.89923416358227,2.4194218945778,0.981015135544851,1.9735755573906
"Fiji, Rep. of",527.634375,547.539494,675.485558,627.371933,731.277077,584.014363,502.129618,674.672129,953.233074,307.177452,276.572997,238.718753,220.727332,216.407739,213.740725,253.1656723,222.272523,214.072454,Fiji,220.45692299999996,270.966497,436.766805,406.644601,514.869338,370.273638,248.96394569999998,452.39960600000006,739.16062,4857103846.72985,4682480303.97469,4930213787.50451,5353468387.56019,5581425890.96651,5481692621.61125,4477030179.83128,4296235427.52339,4943248200.0441,0.519306474579103,1.37488542621447,3.86322538221274,3.34757834757835,4.08147637644538,1.7731018246027,-2.5952432588737,0.155855722131493,4.52019266394963
French Polynesia,133.557637,178.782457,141.380936,152.379111,323.874476,240.003009,184.605343,266.672242,326.235183,13.050675,9.56847,19.964991,11.799498,16.476893,38.527492,11.872432,131.40493,31.978826,French Polynesia,120.506962,169.213987,121.415945,140.579613,307.397583,201.475517,172.732911,135.26731199999998,294.256357,6151996534.96077,5325846341.7909,5497036486.74487,5833352684.45264,6135116260.64814,6022276207.18983,5731835679.23061,6080359305.28965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guam,44.567907,43.283233,37.938233,260.617614,170.87501,124.198527,60.417167,58.884373,89.684472,91.410912,89.808119,118.918024,217.839275,195.990707,186.763306,192.4671523,188.789707,213.852301,Guam,-46.843005,-46.524886,-80.979791,42.77833900000002,-25.115696999999983,-62.564779,-132.0499853,-129.90533399999998,-124.16782900000001,5610000000.0,5799000000.0,5901000000.0,6013000000.0,6056000000.0,6366000000.0,5886000000.0,6123000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
