,Country,Exports_2014,Exports_2015,Exports_2016,Exports_2017,Exports_2018,Exports_2019,Exports_2020,Exports_2021,Exports_2022,Imports_2014,Imports_2015,Imports_2016,Imports_2017,Imports_2018,Imports_2019,Imports_2020,Imports_2021,Imports_2022,Trade_balance_2014,Trade_balance_2015,Trade_balance_2016,Trade_balance_2017,Trade_balance_2018,Trade_balance_2019,Trade_balance_2020,Trade_balance_2021,Trade_balance_2022,GDP_2014,GDP_2015,GDP_2016,GDP_2017,GDP_2018,GDP_2019,GDP_2020,GDP_2021,GDP_2022,Inflation_2014,Inflation_2015,Inflation_2016,Inflation_2017,Inflation_2018,Inflation_2019,Inflation_2020,Inflation_2021,Inflation_2022,Openness_2014,Openness_2015,Openness_2016,Openness_2017,Openness_2018,Openness_2019,Openness_2020,Openness_2021,Openness_2022
35,Algeria,20756.123822,19432.028414,21349.480843,22440.669772,24767.981118,22313.190543,18930.999731,21738.175626,26422.816906,10946.609054,6837.495138,5819.936419,7634.453019,10168.910607,10462.559468,6468.792654600001,8758.721391,11912.672173,9809.514768,12594.533276,15529.544424000002,14806.216753,14599.070511,11850.631075,12462.207076399998,12979.454235,14510.144733,213809.980720787,165979.22431666698,160034.212613438,170096.989042831,174910.891124491,171760.29006815702,145743.722826258,163472.23324576998,191912.889420911,2.91692692067457,4.78444700693894,6.39769480268749,5.59111590961673,4.26999020467078,1.95176821052894,2.41513094083414,7.22606307415476,9.26551551551551,7.4137635598499925,7.913497505531515,8.488627780994436,8.840580588827173,9.987054408216935,9.54113142158589,8.713854666618904,9.32785232436076,9.987731724188956
36,"Armenia, Rep. of",2283.441925,1889.080869,1723.594089,2175.168005,2572.899726,3091.24209,2674.021158,3369.345418,3801.349056,891.54848,869.459287,1175.455983,1438.092812,1705.062038,2093.338094,2297.6962374,2881.930175,2717.70813,1391.8934450000002,1019.621582,548.1381059999999,737.0751929999999,867.8376880000001,997.903996,376.3249206,487.4152429999999,1083.640926,11609.5132410754,10553.3375277745,10546.1362403952,11527.4587126187,12457.9407053088,13619.2905458131,12641.6985937908,13861.409968835,19502.7839878807,2.98130868933673,3.73169119261695,-1.40360755900906,0.969553268816231,2.52023382001631,1.44344660770702,1.21143577838465,7.18483629443373,8.64091108973845,13.674089253658913,13.069515443526821,13.744607531693342,15.672408407955052,17.16961841926651,19.033958364277154,19.66396113035771,22.549205337173202,16.71314513366664
37,"Azerbaijan, Rep. of",9631.518821,6553.144156,4542.387815,5505.451457,6612.914779,7236.480345,6725.201983,8253.265973,8944.287109,7614.217755,4313.049044,3580.693303,4984.991244,4664.260837,4117.788834,3884.4007336,5604.467965,6332.625047,2017.301066,2240.095112,961.694512,520.4602130000003,1948.653942,3118.691511,2840.8012494,2648.798008,2611.6620620000003,75239.7374888044,53076.2447545037,37867.007022784404,40866.6320478414,47112.4792894186,48174.2352941176,42693.0,54825.4117647059,78721.0588235294,1.3734418153318,4.02768573742728,12.4433748584372,12.9359184187334,2.26854690374005,2.61057182799216,2.75980947008126,6.65029912708779,13.8522590144267,11.460524153587158,10.236399777584083,10.725802957060191,12.834973394332005,11.968352956679187,11.784586833271884,12.425459345325931,12.638057327752689,9.703192757002016
38,"Bahrain, Kingdom of",16299.394249,10716.136559,9265.244871,10056.821936,12434.57546,11763.620264,8759.92044,13717.785772,16597.111426,8906.175148,6110.24613,5176.428238,7081.959361,9020.439259,10021.41979,8438.041919399999,11776.979957,14628.298906,7393.219101000001,4605.890429,4088.816633,2974.862575,3414.136201,1742.2004739999993,321.87852060000114,1940.805815,1968.8125199999995,33387.7127659574,31050.638297872298,32234.9734042553,35473.7765957447,37802.005319148906,38653.3180851064,34621.807712766,39303.4039893617,44390.8204787234,2.64755321246194,1.8486274237498,2.78679347602047,1.38671830576397,2.08766938046983,1.00582004702132,-2.31770629331374,-0.606319385140896,3.62574104304492,37.746774649834606,27.095067301970737,22.400628236742353,24.156973039989076,28.378143616804095,28.18003878222558,24.836892547725988,32.43327948884618,35.17102184106554
39,Djibouti,4362.804964,4247.167554,4478.201193,4740.001896,4760.888144,5614.510399,5021.69151,6890.334821,9004.845942,168.262612,348.898922,158.59604,204.467008,211.264599,197.121702,226.388961,275.094466,328.90479,4194.542352,3898.268632,4319.605153,4535.534888,4549.623545,5417.388696999999,4795.302549,6615.240355,8675.941152,2214.67908125658,2424.39178543897,2604.9552287011697,2762.58133422612,2913.46673212507,3088.8536385683196,3181.0711536622,3372.2874618081196,3515.10907546098,1.34186494340156,-0.847389733971994,2.73841208738761,0.568112117084679,0.147970849877116,3.31925372703833,1.77740783806174,1.18191775339801,5.17980847967061,102.29625624650618,94.78803103533487,88.99955711161888,89.49001505841801,85.33052202338574,94.07425506398687,82.48920281079158,106.23989455451274,132.76616075954843
40,"Egypt, Arab Rep. of",44833.365899,40679.358512,39498.000396,40866.832443,45601.275941,45025.608115,41103.781748,58139.005899,62831.091313,17654.402992,15085.425783,15371.030204,18653.122336,19445.529694,20784.183084,19963.0869117,25028.561978,28476.065009,27178.962907,25593.932729,24126.970192,22213.710107,26155.746247,24241.425031,21140.6948363,33110.443921,34355.026304,305595.408895265,329366.576819407,332441.71779141104,248362.77173913,262588.63252673,318678.815489749,383817.841547099,424671.765455704,476747.720364742,10.0702154687482,10.370490343517,13.8136062148289,29.5066083940039,14.4014657807421,9.15279959324812,5.04493288977533,5.21404940513043,13.8956609775178,10.223937773950013,8.465458886797741,8.252428570716765,11.982463064455832,12.385685741437912,10.325410413281286,7.955188900749207,9.791982260435315,9.576045403231742
41,Georgia,6371.393143,5383.246747,5407.004512,6000.084008,6591.491557,6975.93088,5967.76342,7491.81683,8454.39808,1768.038628,1439.177429,1291.393419,1735.438816,1869.155007,2093.452248,3908.6373172,2866.04597,3567.682808,4603.354515,3944.069318,4115.611093,4264.645192,4722.33655,4882.478632,2059.1261028000004,4625.77086,4886.715272000001,17627.336228053602,14953.6759926704,15141.598622569201,16242.6472297398,17596.9224699152,17470.4362585131,15842.9225327202,18629.365612096,24605.3754200672,3.06881210379542,4.00357820695098,2.13492713939124,6.03531725272117,2.61524471397664,4.85289821696731,5.2024648897533,9.56691433824767,11.8981654203198,23.087526287852373,22.811863047400642,22.11918998108876,23.81238327283403,24.040131387931186,25.956372794012562,31.16975645371738,27.79982693902004,24.42978553010667
42,Iraq,31880.455776,26406.365284,22525.208545,27421.219053,26910.588432,28779.50115,27816.860719,31428.181225,39894.05023,42154.507461,28314.330007,24863.017266,34388.405778,51617.620274,52014.270339,46643.8755306,60530.837,88263.032719,-10274.051685000002,-1907.964723000001,-2337.8087209999976,-6967.186725,-24707.031842,-23234.769189,-18827.0148116,-29102.655775,-48368.982489,228415.656174957,166774.10491148,166602.488747885,187217.660050676,227367.469034031,233636.097800338,180924.091442953,207691.599310345,264182.173793103,2.23597407904678,1.3933302878031,0.556521397155519,0.18405889884764,0.36744148893681,-0.198965380023871,0.574162679425838,6.04186489058039,4.99476596381039,16.20619279711113,16.405633032791428,14.221944151960209,16.507423715868843,17.26900709226929,17.290515517436262,20.577894202961396,22.13835767319347,24.255437281958233
43,Jordan,15686.096781,12173.833857,10510.952764,11449.639169,12578.127336,12612.404677,10699.09792,14612.632377,20238.677985,5683.11215,5143.522743,4788.088223,4871.629313,5026.802739,5573.331182,5611.9832478,7702.400797,9443.593385,10002.984631,7030.311113999999,5722.864541,6578.009856,7551.324597,7039.073495000001,5087.1146722,6910.23158,10795.084599999998,36847.6435211268,38587.0178873239,39892.5511267606,41608.435915493,43370.8607042254,44503.00577464791,43579.9161971831,45116.317042253504,47451.4998591549,2.89947905006047,-0.876851359704022,-0.778430463054117,3.32389447576096,4.46231108475485,0.761514047265513,0.33329435062843,1.34609377243118,4.22915568897118,28.996710357811413,22.43935596496156,19.175310371084723,19.612931996709275,20.295804359359696,20.432030985826014,18.713988680013006,24.73055718743725,31.276431154023204
44,Kuwait,15631.42776,14633.534647,13152.491369,14418.916028,15148.258399,14797.677581,13519.304038,17631.589781,18450.773042,43359.323864,25496.347639,20466.489332,26606.42341,39675.884963,38236.561212,28271.35426,41972.163453,62606.389826,-27727.896104,-10862.812992,-7313.997963000002,-12187.507382,-24527.626564,-23438.883631,-14752.050222,-24340.573672,-44155.616784,162650.191195358,114585.56743967399,109406.16916283299,120687.63595246001,138202.309918726,136191.752590897,105948.76515602901,136797.422273868,184558.274288737,2.90892672858618,3.27170166092134,3.19839776658371,2.17183298510008,0.543133148199589,1.09184802655847,2.1017295482741,3.42362947609175,3.98064961990327,18.134239864847938,17.510879940061923,15.364298447815914,16.996496415821856,19.834742051070265,19.470429664088478,19.7221073017961,21.785408030084618,21.959774813777248
