,Country,Exports_2014,Exports_2015,Exports_2016,Exports_2017,Exports_2018,Exports_2019,Exports_2020,Exports_2021,Exports_2022,Imports_2014,Imports_2015,Imports_2016,Imports_2017,Imports_2018,Imports_2019,Imports_2020,Imports_2021,Imports_2022,Trade_balance_2014,Trade_balance_2015,Trade_balance_2016,Trade_balance_2017,Trade_balance_2018,Trade_balance_2019,Trade_balance_2020,Trade_balance_2021,Trade_balance_2022,GDP_2014,GDP_2015,GDP_2016,GDP_2017,GDP_2018,GDP_2019,GDP_2020,GDP_2021,GDP_2022,Inflation_2014,Inflation_2015,Inflation_2016,Inflation_2017,Inflation_2018,Inflation_2019,Inflation_2020,Inflation_2021,Inflation_2022,Openness_2014,Openness_2015,Openness_2016,Openness_2017,Openness_2018,Openness_2019,Openness_2020,Openness_2021,Openness_2022
92,Antigua and Barbuda,639.494224,312.665067,401.824439,354.139517,398.855517,395.618983,318.994758,559.532983,358.177414,617.926323,459.464197,249.262323,214.2541,220.871582,2098.005593,1605.4318054,1845.32831,2305.606641,21.56790100000001,-146.79913,152.56211599999995,139.88541700000002,177.98393500000003,-1702.3866099999998,-1286.4370474,-1285.7953270000005,-1947.429227,1249.73333333333,1336.69259259259,1436.5851851851899,1467.95555555556,1604.7703703703698,1675.4037037037,1416.34814814815,1560.51851851852,1757.6037037037001,1.0894415743536,0.968993458825599,-0.489437796230513,2.43248789041366,1.20715793367003,1.43135598182989,0.625989707046698,2.06299638545331,7.53107834634288,50.30755415822057,28.882080602482134,22.660917316785103,19.360041754972844,19.308902707898678,74.41861834516405,67.9362120787941,77.05327634570648,75.77885872073314
93,"Bahamas, The",3464.844049,4212.66805,1682.287335,1798.833767,1647.35121,1718.519338,1302.363903,1837.899516,2179.797762,4237.590962,1687.891131,1507.400883,965.779453,1386.690048,1281.445655,953.2747823,929.522991,1501.971868,-772.7469130000004,2524.776919,174.88645199999996,833.0543140000001,260.6611620000001,437.0736830000001,349.0891207,908.376525,677.8258940000001,11176.1,11672.9,11750.8,12253.5,12653.6,13058.7,9754.6,11527.6,12897.4,1.51375643050825,1.86148302863373,-0.346376929989402,1.51820700736153,2.26586346678726,2.49123527368055,0.0385210980053727,2.90491262928479,5.60540633583043,34.459404492622646,25.274606914305785,13.572217287333629,11.280912473987025,11.988846091230956,11.486461106388845,11.561923017345661,12.003463457267776,14.273301711972957
94,Bolivia,6210.470534,5252.533893,5789.972995,6119.115524,5514.947306,5510.798658,4150.479494,5501.111611,6268.969197,8637.557488,6226.938501,4422.272726,5255.697318,6060.720283,6382.564132,5651.0813453,7457.386026,10773.875951,-2427.0869540000003,-974.4046079999998,1367.700269,863.4182059999994,-545.7729769999996,-871.7654740000007,-1500.6018513,-1956.274415,-4504.906754,32996.1880173661,33000.1982489146,33941.126193921904,37508.642170767,40287.6479305355,40895.3228509407,36629.843806078105,40408.208523878406,43068.885672937795,5.7666007457914,4.05961041135646,3.62321431764138,2.8227580554717,2.27205987230148,1.83954504969032,0.940742153381823,0.737383721452315,1.74632872945973,22.499611188700634,17.393035501502734,15.044058442039535,15.162922707536922,14.36627376331192,14.541226185388117,13.379200975016984,16.03448669265112,19.785565474600634
95,Brazil,112917.04797,78544.784437,63598.955234,74939.859019,87388.715406,84667.893021,77379.344817,117507.803061,142474.076711,141307.782574,124755.134574,120770.206979,147971.827077,165024.21462,158779.69636,156895.0843361,208957.502878,236805.788822,-28390.73460400001,-46210.350137,-57171.251745,-73031.968058,-77635.49921400001,-74111.803339,-79515.7395191,-91449.699817,-94331.712111,2456043.7660635,1802211.99955559,1795693.26582427,2063514.68876167,1916933.7084041599,1873288.1590006398,1476107.2920365902,1649622.97215935,1920095.56099506,6.32904015516142,9.02990102416129,8.73914352329393,3.44637335032672,3.66485028376724,3.73297621216894,3.21176803803379,8.30165975585676,9.2801060895687,5.175494713424157,5.640288685824198,5.133648539032911,5.401262402202015,6.58376784025914,6.497868152619782,7.935548805191213,9.895149117366442,9.876588260441684
96,Chile,32765.558016,29081.412664,28406.419836,33111.11368,38318.763284,33307.088628,30817.870982,51331.262648,51729.38461,40032.335222,34638.779031,31657.258843,36236.158758,43036.722798,41058.333159,43232.1096599,56604.533597,65899.873773,-7266.777206000002,-5557.366366999999,-3250.8390069999987,-3125.045077999996,-4717.959514000002,-7751.244531000004,-12414.238677900004,-5273.270948999998,-14170.489162999998,259405.194672935,242496.65571151502,249298.706449182,276364.936832331,295402.646018151,278493.30813409603,254096.10351632402,316713.57750867296,301025.249437947,4.71867527854671,4.3487735321705,3.78619355893115,2.18271846868523,2.43488981353058,2.55754475703323,3.04549084804331,4.52456838259136,11.6438667110559,14.031695342451705,13.138365044259501,12.046528346356183,12.546322488093448,13.77027037141047,13.351383967759944,14.571254658602584,17.039969851315306,19.538104960070463
97,Colombia,23817.976163,20314.929856,18937.380116,20291.056219,22090.830133,22890.206901,20202.47405,30716.723465,35034.514497,26469.152966,17362.504869,14276.139563,18223.011198,22687.89819,20594.492009,16321.6899131,23180.752078,30615.067555,-2651.176803000002,2952.4249869999985,4661.240553,2068.045020999998,-597.0680570000004,2295.714892,3880.7841369,7535.971386999998,4419.446941999995,381240.864422407,293492.37022884696,282720.100286228,311866.875135576,334198.218100716,323031.70121076703,270150.956772567,318511.813576972,343939.445259487,2.89883787761738,4.98983115849532,7.51346024627683,4.31431325695007,3.24056932930567,3.52301932741443,2.52663500084712,3.49505757399453,10.1772313546165,6.59519136349493,6.418809915845768,5.873922590819397,6.174760849522254,6.69942655252357,6.730716946202711,6.75995458232797,8.46082833439003,9.54377041610774
98,Costa Rica,4772.501032,4867.409535,5216.178952,5154.647414,5603.088311,4850.154454,4929.724844,7197.093466,7982.422381,14397.345427,4787.802342,4417.897086,4659.217317,4685.864547,4537.353808,4912.0073098,6405.211339,8700.189369,-9624.844395,79.60719299999982,798.2818660000003,495.4300970000004,917.2237640000004,312.8006460000006,17.717534200000046,791.8821269999999,-717.7669879999994,52016.4089239289,56441.9208237632,58847.0195849144,60516.0446234876,62420.1649646987,64417.6705557821,62395.6107640705,64616.4821677475,68380.8383162777,4.51920098516958,0.801982005099592,-0.0174788505908107,1.62590692991729,2.22111461526584,2.09604635327805,0.724911478131358,1.72647755109235,8.27477490232662,18.42673000267553,8.55322757985848,8.185695814295514,8.108481636612966,8.241689896060711,7.286438783804626,7.886558071378957,10.525414219925933,12.198308883578568
99,Dominican Rep.,5427.2106,5254.82692,5385.614783,5418.609125,5994.974108,6007.600628,5623.128171,8725.839876,10372.656912,1314.077095,1672.660732,1560.712261,1719.016983,1744.108137,1951.978023,1528.0055595,2234.285293,2328.313879,4113.133505,3582.166188,3824.902522,3699.592142,4250.865971,4055.622605000001,4095.1226115,6491.554583,8044.343033000001,67179.9562649383,71164.8267195026,75704.6479772591,79998.0459755137,85555.3903859812,88941.3719802651,78844.65583321941,94243.4264870833,113641.857434002,2.99864226125217,0.836746346724583,1.61416607245221,3.27955694678546,3.56443426013507,1.8106037704296,3.78103179915516,8.24300347981817,8.81109209279581,5.017335578795492,4.867213180539885,4.5877810871576905,4.461125281850465,4.522849004653773,4.474621019319402,4.5349514529094,5.81479556587544,5.588156986247847
100,Ecuador,10322.487544,8232.765958,6970.335941,9067.308389,10753.272241,10141.467844,8291.396681,12735.639431,14575.585524,11609.217572,8804.553839,7969.918472,9265.766303,11074.129138,12150.107332,10936.6934547,13840.81174,15523.893439,-1286.730028,-571.7878810000002,-999.582531,-198.45791400000053,-320.85689699999966,-2008.639487999999,-2645.2967737,-1105.1723089999996,-948.3079149999994,101726.331,99290.381,99937.696,104295.862,107562.008,108108.009,99291.124,106165.866,115049.476,3.58922016616669,3.96664623255354,1.72826463324535,0.417335588666803,-0.224103246005465,0.266012515466136,-0.338872392562274,0.133251386096455,3.46616972213077,10.779758249611891,8.57954195834942,7.474784296107847,8.788975104304715,10.146427063261966,10.309862970466877,9.682683285819184,12.516476421432857,13.081102152520888
101,El Salvador,3922.69774,4032.359157,3968.190714,4184.576229,4681.393124,4776.438677,4766.628478,6859.529459,7533.907126,2296.462446,2539.450607,2479.739396,2880.228122,2954.947097,2714.047822,2731.0921962,3640.239909,4049.456614,1626.235294,1492.9085499999997,1488.451318,1304.3481070000005,1726.446027,2062.390855,2035.5362818,3219.2895500000004,3484.450512,22593.47,23438.24,24191.43,24979.19,26020.85,26881.14,24930.08,29451.24,32488.72,1.1413446753823,-0.731384487387986,0.604049086996682,1.01235403315573,1.09033000581896,0.0753241350024327,-0.371590212323993,3.46692585313078,7.19861615609868,13.763180657951168,14.019418190103009,13.326889129745531,14.141379986700933,14.673502635386622,13.932605720962728,15.037498223431292,17.825683006895467,17.826746852446018
